candidate_id,rank,score,reasoning
CAND_0002025,1,0.7276,"Senior AI Engineer with 5.9yr at Apple; relevant skills: FAISS, OpenSearch, Weaviate; strong engagement (80% response rate); available immediately (notice: 30d); active GitHub (score: 97)."
CAND_0077337,2,0.7124,"Staff Machine Learning Engineer with 7.0yr at Paytm; relevant skills: Semantic Search, pgvector, Pinecone; strong engagement (95% response rate); active GitHub (score: 68)."
CAND_0011687,3,0.7108,"Senior NLP Engineer with 7.8yr at Niramai; relevant skills: OpenSearch, FAISS, Embeddings; strong engagement (89% response rate); available immediately (notice: 15d); active GitHub (score: 76)."
CAND_0081846,4,0.7059,"Lead AI Engineer with 6.7yr at Razorpay; relevant skills: Information Retrieval, pgvector, Elasticsearch; strong engagement (73% response rate); available immediately (notice: 30d)."
CAND_0018499,5,0.7029,"Senior Machine Learning Engineer with 7.2yr at Zomato; relevant skills: Deep Learning, Weaviate, Recommendation Systems; available immediately (notice: 15d); active GitHub (score: 95)."
CAND_0055905,6,0.7006,"Senior Machine Learning Engineer with 8.1yr at Flipkart; relevant skills: Elasticsearch, Hugging Face Transformers, LLMs; strong engagement (87% response rate); available immediately (notice: 30d)."
CAND_0086022,7,0.6940,"Senior Applied Scientist with 5.3yr at Sarvam AI; relevant skills: Vector Search, Recommendation Systems, Deep Learning; available immediately (notice: 0d); active GitHub (score: 75)."
CAND_0071974,8,0.6921,"Senior AI Engineer with 7.8yr at Netflix; relevant skills: Weaviate, Pinecone, Machine Learning; strong engagement (76% response rate); active GitHub (score: 83)."
CAND_0046525,9,0.6906,"Senior Machine Learning Engineer with 6.1yr at Genpact AI; relevant skills: Elasticsearch, Machine Learning, Information Retrieval; strong engagement (88% response rate)."
CAND_0051292,10,0.6856,"Applied ML Engineer with 5.2yr at Freshworks; relevant skills: pgvector, FAISS, LLMs; available immediately (notice: 30d); active GitHub (score: 62)."
CAND_0052682,11,0.6856,"NLP Engineer with 6.6yr at Aganitha; relevant skills: Semantic Search, FAISS, PyTorch; strong engagement (88% response rate); available immediately (notice: 30d); active GitHub (score: 72)."
CAND_0079064,12,0.6783,"Senior Data Scientist with 5.2yr at Niramai; relevant skills: OpenSearch, NLP, Semantic Search; strong engagement (91% response rate); long notice period (120d) reduces fit."
CAND_0075249,13,0.6770,"Applied ML Engineer with 6.2yr at Zomato; relevant skills: Sentence Transformers, Milvus, Machine Learning; strong engagement (82% response rate)."
CAND_0088025,14,0.6765,"Staff Machine Learning Engineer with 8.6yr at Yellow.ai; relevant skills: Pinecone, LLMs, Hugging Face Transformers; strong engagement (83% response rate); active GitHub (score: 75)."
CAND_0046064,15,0.6758,"Senior NLP Engineer with 8.9yr at Salesforce; relevant skills: Pinecone, OpenSearch, Deep Learning; strong engagement (78% response rate); available immediately (notice: 30d); active GitHub (score: 67)."
CAND_0043860,16,0.6735,"Junior ML Engineer with 6.1yr at Aganitha; relevant skills: pgvector, Semantic Search, Information Retrieval; strong engagement (81% response rate); available immediately (notice: 30d)."
CAND_0007009,17,0.6698,"Recommendation Systems Engineer with 7.9yr at Wysa; relevant skills: Weaviate, Embeddings, LLMs; available immediately (notice: 30d); active GitHub (score: 69)."
CAND_0037160,18,0.6689,"Data Scientist with 6.0yr at Haptik; relevant skills: Deep Learning, LLMs, Weaviate; strong engagement (74% response rate); available immediately (notice: 30d)."
CAND_0080766,19,0.6672,"Staff Machine Learning Engineer with 8.8yr at Salesforce; relevant skills: Search Backend, Search & Discovery, Search Infrastructure; available immediately (notice: 0d)."
CAND_0079387,20,0.6659,"AI Engineer with 6.9yr at Microsoft; relevant skills: Recommendation Systems, Sentence Transformers, Vector Search; strong engagement (81% response rate); available immediately (notice: 30d); active GitHub (score: 64)."
CAND_0064326,21,0.6636,"Search Engineer with 7.6yr at Sarvam AI; relevant skills: PyTorch, Milvus, Deep Learning; strong engagement (94% response rate); active GitHub (score: 61)."
CAND_0008425,22,0.6627,"Senior NLP Engineer with 7.8yr at Ola; relevant skills: Qdrant, pgvector, Sentence Transformers; active GitHub (score: 53)."
CAND_0053591,23,0.6617,"AI Engineer with 5.3yr at Ola; relevant skills: Embeddings, Milvus, OpenSearch; strong engagement (81% response rate); active GitHub (score: 76)."
CAND_0029367,24,0.6594,"Senior Data Scientist with 5.7yr at Rephrase.ai; relevant skills: FAISS, Sentence Transformers, RAG; strong engagement (77% response rate)."
CAND_0081686,25,0.6594,"Search Engineer with 6.0yr at Netflix; relevant skills: Machine Learning, Embeddings, FAISS; strong engagement (91% response rate)."
CAND_0092255,26,0.6590,"ML Engineer with 5.2yr at InMobi; relevant skills: Machine Learning, PyTorch, Weaviate; active GitHub (score: 78)."
CAND_0005649,27,0.6582,"Senior Data Scientist with 7.4yr at Sarvam AI; relevant skills: Deep Learning, Fine-tuning LLMs, Recommendation Systems; active GitHub (score: 81)."
CAND_0083307,28,0.6581,"Search Engineer with 7.8yr at CRED; relevant skills: Embeddings, Pinecone, Weaviate; strong engagement (70% response rate); long notice period (120d) reduces fit; active GitHub (score: 69)."
CAND_0041669,29,0.6575,"Recommendation Systems Engineer with 8.0yr at CRED; relevant skills: FAISS, Milvus, Semantic Search; strong engagement (77% response rate); active GitHub (score: 71)."
CAND_0057563,30,0.6561,"NLP Engineer with 6.8yr at Locobuzz; relevant skills: Deep Learning, RAG, Elasticsearch; strong engagement (83% response rate)."
CAND_0005260,31,0.6556,"Senior NLP Engineer with 5.2yr at Netflix; relevant skills: Information Retrieval, Semantic Search, Deep Learning; strong engagement (86% response rate)."
CAND_0010685,32,0.6546,"NLP Engineer with 6.7yr at Rephrase.ai; relevant skills: Deep Learning, PyTorch, Information Retrieval; strong engagement (83% response rate); available immediately (notice: 30d)."
